"","cve_ent","ent","hab","padron","ln","fecha_limite_congreso","seguidores_tw","seguidores_fb","n_dip","n_dip_mr","n_dip_rp","n_part","part_mayoritario","sh_part_mayoritario","status_congreso","votos_reformas","dip_pri","dip_pan","dip_prd","dip_pvem","dip_morena","dip_mc","dip_na","dip_pt","dip_pes","dip_partloc","dip_indep","duracion_dips","diputados","diputadas","presupuesto_2012","presupuesto_2013","presupuesto_2014","presupuesto_2015","presupuesto_2016","presupuesto_2017","crecimiento_pres_12_17","crecimiento_pres_16_17","pes_2017","presupuesto_fiscalia_17","iniciativas_dips_2016","iniciativas_gober_16","iniciativas_ciudadanas_16","iniciativas_aprobadas_gober_16","reformas_aprobadas_16","solicitudes_16","existe_padron_cabilderos"
"1","01","Aguascalientes",1321452.93284225,901320,889519,"LXIII",NA,6474,27,18,9,7,"PAN",0.481481481481481,"Dividido","Dos terceras partes",6,13,1,2,1,0,3,0,1,0,0,6,14,13,167771000,170971000,170171000,171144000,172144000,173524000,-0.125806264411594,-0.0247543808708745,19417341000,28749000,256,28,0,22,18,214,"sin padrón de cabilderos"
"2","02","Baja California",3584604.89714746,2602763,2566505,"XXII",NA,7963,25,17,8,8,"PAN",0.52,"Mayoría simple","Dos terceras partes",5,13,1,0,2,1,0,1,1,1,0,12,16,9,527669958,661580536.93,521580538.82,535525607.21,563822662.24,498822622.24,-0.200996273374239,-0.144046915740733,44946972236.7,99513643.44,7,22,5,15,22,378,"sin padrón de cabilderos"
"3","03","Baja California Sur",809833.275385926,494556,488300,"XIV",NA,NA,21,16,5,6,"PAN",0.619047619047619,"Mayoría simple","Dos terceras partes",3,13,1,0,1,0,0,1,0,2,0,12,11,10,1.27e+08,1.27e+08,1.7e+08,1.7e+08,205273856,2.14e+08,0.424213458033903,0.00861745764558206,13909765878,NA,NA,8,0,27,2,93,"sin padrón de cabilderos"
"4","04","Campeche",935046.60400557,624888,616158,"LXII",6025,7533,35,21,14,6,"PRI",0.428571428571429,"Dividido","Dos terceras partes",15,11,1,3,1,0,2,0,0,0,2,12,16,19,140154385,159880417,171536450,171133537,177536345,182862436,0.102764669740018,-0.00348561046425352,19277532100,37007633,11,17,1,18,4,171,"sin padrón de cabilderos"
"5","07","Chiapas",5382082.61883625,3422168,3337565,"LXVI",3575,3487,40,24,16,7,"PVEM",0.4,"Dividido","Dos terceras partes",10,2,2,16,2,0,0,0,0,7,1,12,16,24,1.9e+08,2.2e+08,235300000,273370874.89,290987851.35,290987851.35,0.29445300984171,-0.0325103048606294,81891143366,136473208.76,25,26,0,NA,6,NA,"sin padrón de cabilderos"
"6","08","Chihuahua",3782017.84258537,2637163,2597445,"LXV",2687,4938,33,22,11,9,"PAN",0.484848484848485,"Dividido","Dos terceras partes",5,16,1,2,2,1,3,2,1,0,0,6,16,17,245842453,255676150,255676150,3.25e+08,350495738,338421000,0.1634975060106,-0.0658407660330496,61954630000,187793964,112,12,0,10,8,216,"sin padrón de cabilderos"
"7","09","Ciudad de México",8811266.4525384,7467906,7359653,"VII",36400,1435,66,40,26,10,"MORENA",0.303030303030303,"Dividido","No aplica",8,10,17,3,20,3,1,1,2,1,0,6,36,30,1471386210,1472274250,1528220672,1589349499,1820457828,1903067108,0.0931819557807504,0.0113927319983398,198965977058,665263192,325,11,0,6,NA,NA,"impedido de responder"
"8","05","Coahuila",3029739.87641837,2075358,2065907,"LX",NA,NA,25,16,9,7,"PRI",0.64,"Mayoría simple","Dos terceras partes",16,4,0,1,0,0,1,0,0,3,0,12,13,12,101133000,116456000,136615000,129784000,174030000,192731875,0.610740909755217,0.0714595356397705,43697944151,162342200,255,27,4,22,8,1148,"sin padrón de cabilderos"
"9","06","Colima",747801.045123912,516348,508112,"LXIII",4310,3131,25,16,9,6,"PAN",0.4,"Dividido","Dos terceras partes",8,10,0,1,0,1,1,1,0,0,3,6,16,9,84815390.4,88208007,88208007,88208007,102208007,93280000,-0.0704368373775605,-0.117021832129057,15517525000,3.2e+07,154,20,0,14,2,NA,"sin padrón de cabilderos"
"10","10","Durango",1799319.7475441,1244315,1219877,"LXVII",5190,2010,25,15,10,6,"PRI",0.48,"Dividido","Dos terceras partes",12,7,3,1,0,0,1,1,0,0,0,12,14,11,156888086,164895159,157604925,165485177,176390000,232604500,0.253121497845606,0.275823214428515,30306957803,42677885,255,19,0,5,2,147,"sin padrón de cabilderos"
